id,customer_id,transaction_date,order_status,shipping_info
201,CUST0201,2025-04-02,Shipped,DHL Tracking #vHd43411
202,CUST0202,2024-07-08,Delivered,UPS Tracking #oHh49899
203,CUST0203,2024-12-19,Delivered,FedEx Tracking #olw54270
204,CUST0204,2025-05-16,Delivered,UPS Tracking #AgW67147
205,CUST0205,2024-11-22,Processing,DHL Tracking #xmv82859
206,CUST0206,2025-01-16,Cancelled,USPS Tracking #gSz30766
207,CUST0207,2025-01-19,Processing,DHL Tracking #maT86451
208,CUST0208,2025-03-10,Delivered,DHL Tracking #wlg29881
209,CUST0209,2025-06-05,Processing,FedEx Tracking #cTa26632
210,CUST0210,2025-03-14,Delivered,UPS Tracking #glE34998
211,CUST0211,2024-11-29,Cancelled,FedEx Tracking #txp02384
212,CUST0212,2024-12-21,Cancelled,UPS Tracking #lHT41579
213,CUST0213,2024-09-27,Shipped,UPS Tracking #HNZ65095
214,CUST0214,2024-07-27,Delivered,USPS Tracking #dEY27927
215,CUST0215,2025-01-04,Processing,UPS Tracking #anV17864
216,CUST0216,2025-04-09,Delivered,FedEx Tracking #ZCM00063
217,CUST0217,2025-03-12,Cancelled,UPS Tracking #XXe63187
218,CUST0218,2024-11-30,Delivered,DHL Tracking #VAA54686
219,CUST0219,2024-08-28,Cancelled,DHL Tracking #kpg27888
220,CUST0220,2025-02-18,Shipped,UPS Tracking #hlx29652
221,CUST0221,2024-09-08,Delivered,FedEx Tracking #kuk63951
222,CUST0222,2025-06-01,Delivered,UPS Tracking #EVq69189
223,CUST0223,2025-02-27,Delivered,USPS Tracking #WwJ13135
224,CUST0224,2024-11-18,Processing,UPS Tracking #LHk23844
225,CUST0225,2025-04-04,Processing,DHL Tracking #SJx26545
226,CUST0226,2025-04-29,Delivered,USPS Tracking #FVG11726
227,CUST0227,2025-01-31,Shipped,UPS Tracking #ySf48277
228,CUST0228,2024-10-22,Delivered,FedEx Tracking #OBw60298
229,CUST0229,2024-11-25,Processing,UPS Tracking #LFK56931
230,CUST0230,2024-10-20,Shipped,DHL Tracking #ROZ16379
231,CUST0231,2024-09-25,Delivered,FedEx Tracking #Lwb44490
232,CUST0232,2024-06-25,Cancelled,DHL Tracking #VnT28562
